path,name,size
abfss://inbnd@dxseaadls002prd.dfs.core.windows.net/CARDX/LOS/CARDXLOS_DATAX_ACCEPTANCE_PER_PRODUCTS__C_D20231109.CSV.PGP,CARDXLOS_DATAX_ACCEPTANCE_PER_PRODUCTS__C_D20231109.CSV.PGP,746
abfss://inbnd@dxseaadls002prd.dfs.core.windows.net/CARDX/LOS/CARDXLOS_DATAX_ACCEPTANCE_PER_PRODUCTS__C_D20231109.CTL,CARDXLOS_DATAX_ACCEPTANCE_PER_PRODUCTS__C_D20231109.CTL,96
abfss://inbnd@dxseaadls002prd.dfs.core.windows.net/CARDX/LOS/CARDXLOS_DATAX_ACCEPTANCE_PER_SUBSIDIARIES__C_D20231109.CSV.PGP,CARDXLOS_DATAX_ACCEPTANCE_PER_SUBSIDIARIES__C_D20231109.CSV.PGP,750
abfss://inbnd@dxseaadls002prd.dfs.core.windows.net/CARDX/LOS/CARDXLOS_DATAX_ACCEPTANCE_PER_SUBSIDIARIES__C_D20231109.CTL,CARDXLOS_DATAX_ACCEPTANCE_PER_SUBSIDIARIES__C_D20231109.CTL,100
abfss://inbnd@dxseaadls002prd.dfs.core.windows.net/CARDX/LOS/CARDXLOS_DATAX_AGENTWORK_D20231109.CSV.PGP,CARDXLOS_DATAX_AGENTWORK_D20231109.CSV.PGP,5059
abfss://inbnd@dxseaadls002prd.dfs.core.windows.net/CARDX/LOS/CARDXLOS_DATAX_AGENTWORK_D20231109.CTL,CARDXLOS_DATAX_AGENTWORK_D20231109.CTL,80
abfss://inbnd@dxseaadls002prd.dfs.core.windows.net/CARDX/LOS/CARDXLOS_DATAX_ASSET__C_D20231109.CSV.PGP,CARDXLOS_DATAX_ASSET__C_D20231109.CSV.PGP,779
abfss://inbnd@dxseaadls002prd.dfs.core.windows.net/CARDX/LOS/CARDXLOS_DATAX_ASSET__C_D20231109.CTL,CARDXLOS_DATAX_ASSET__C_D20231109.CTL,78
abfss://inbnd@dxseaadls002prd.dfs.core.windows.net/CARDX/LOS/CARDXLOS_DATAX_BANK_BRANCH_LIST__C_D20231109.CSV.PGP,CARDXLOS_DATAX_BANK_BRANCH_LIST__C_D20231109.CSV.PGP,820
abfss://inbnd@dxseaadls002prd.dfs.core.windows.net/CARDX/LOS/CARDXLOS_DATAX_BANK_BRANCH_LIST__C_D20231109.CTL,CARDXLOS_DATAX_BANK_BRANCH_LIST__C_D20231109.CTL,89
